
outfit "Chemical Warhead"
	plural "chemical warheads"
	category "Special"
	cost 
	thumbnail "outfit/chemical warhead"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Coreshine"
	plural "coreshine"
	category "Special"
	cost 
	thumbnail "outfit/coreshine"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Dragon's Teeth"
	plural "dragon's teeth"
	category "Special"
	cost 
	thumbnail "outfit/dragon teeth"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Designer Drugs"
	plural "designer drugs"
	category "Special"
	cost 
	thumbnail "outfit/designer drugs"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Stolen Ship Parts"
	plural "stolen ship parts"
	category "Special"
	cost 
	thumbnail "outfit/stolen ship parts"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "MANPADS"
	plural "MANPADS"
	category "Special"
	cost 
	thumbnail "outfit/MANPADS"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Counterfeit Credsticks"
	plural "counterfeit credsticks"
	category "Special"
	cost 
	thumbnail "outfit/counterfeit credsticks"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
	
outfit "Jailbroken AI Core"
	plural "jailbroke AI cores"
	category "Special"
	cost 
	thumbnail "outfit/jailbroken AI core"
	"mass" 8
	"installable" -1
	description "It's a commodity, but it's illegal. Somebody, somewhere, will pay a good price for this."
